num,name
"10-21317","D"
"20-21143","DD"
"F9-21938","FF1"
"99-A9307","D"
"10-00000","D"
"UN-23172","DD_IWEB"
"99-21463","D"
"99-49297","D"
"UN-23510","FF1_uscb"
"99-A9016","D"
"UN-23675","D"
"ME-23684","D"
"PH-23752","D"
"UN-23738","ZZ"
"CA-23323","D"
"UN-23416","DD"
"UN-24133","DD"
"99-10203","D"
"UN-22157","D"
"UN-24368","DD"
"UN-21416","D"
"UN-24511","DD"
"UN-24808","D"
"UN-24823","D"
"UN-24824","D"
"UN-25013","D"
"UN-24801","D"
"PH-24795","D"
"UN-25187","D"
"99-A9036","D"
"UN-24825","D"
"BR-25314","E"
"IN-25505","II"
"UN-25566","FF1_USCB SAC SIP"
"UN-25843","FF1"
"UN-25879","EE"
"UN-25510","II"
"UN-26115","DD"
"UN-25901","C_ICAN"
"UN-26130","ZZ"
"UN-26390","FF"
"99-A9027","D"
"99-59872","T"
"99-A9037","D"
"99-A9067","D"
"UN-26671","EE"
"99-19628","D"
"UN-26895","D"
"CA-26813","YY"
"UN-26633","HH"
"UN-25346","FF"
"CA-27122","FF1"
"UN-27337","D"
"99-18245","D"
"99-27118","D"
"99-11992","D"
"99-A9072","D"
"99-11881","D"
"99-22882","D"
"99-A9024","D"
"99-55512","D"
"99-22291","D"
"99-11172","D"
"99-06218","D"
"UN-28013","D"
"UN-27995","D"
"UN-25857","D"
"UN-28232","DD"
"US-28341","D"
"UN-27798","DD"
"UN-27507","DD"
"99-11115","D"
"UN-26575","DD"
"UN-28663","DD"
"US-28690","DD"
"UN-28525","II_ooma"
"UN-28212","FF_ABNS"
"UN-28802","II_Vonage"
"UN-28686","DD"
"UN-27670","DD"
"UN-29084","DD"
"99-A9019","D"
"UN-28113","DD"
"UN-29053","II"
"UN-29037","II"
"UN-29201","YY"
"UN-29430","OO_Radialpoint"
"UN-29131","DD"
"CA-29232","DD"
"UN-29261","QQ"
"UN-26014","ZZ1"
"CA-29697","YY1"
"UN-29651","GryphoneNW"
"PH-29940","E"
"UN-29304","DD"
"UN-29980","FF1"
"CA-29758","DD"
"UN-30064","D"
"UN-30033","DD"
"UN-29954","DD"
"UN-30128","PremierEntNWFla"
"UN-29904","DD"
"UN-30278","ZZ"
"UN-29798","DD"
"UN-30435","D"
"UN-30436","D"
"UN-30450","D"
"UN-30446","D"
"UN-30448","D"
"UN-30449","D"
"UN-29219","DD"
"UN-30157","LL"
"99-A9015","D"
"99-39172","D"
"UN-30405","II"
"UN-31033","D"
"UN-31038","D"
"UN-31040","D"
"CA-30927","FF1"
"99-27119","D"
"UN-31212","D"
"UN-31240","D"
"UN-31039","D"
"UN-31267","FF1"
"UN-31228","EE"
"UN-31487","D"
"UN-31488","D"
"UN-31489","D"
"CA-31484","DD"
"UN-31490","D"
"UN-31066","D"
"CA-31330","DD"
"99-A9308","D"
"99-37912","D"
"UN-31491","D"
"UN-31492","D"
"IN-31638","DD"
"UN-31493","D"
"UN-31494","D"
"UN-29820","FF1"
"UN-31607","FF1"
"US-31921","D"
"UN-31333","EE"
"UN-32081","A"
"UN-32054","D"
"UN-32052","D"
"UN-32049","D"
"UN-32051","D"
"99-10211","D"
"99-10213","D"
"99-10214","D"
"UN-32163","D"
"UN-32048","D"
"UN-32050","D"
"UN-31148","DD"
"UN-31724","Bosley Manual"
"US-32358","D"
"UN-31787","EE"
"99-A9025","D"
"US-32355","GG - Do not use - requires SVP approval"
"UN-32317","DD"
"UN-30765","II"
"UN-32235","MM_with_lower_IB"
"99-10215","D"
"99-10216","D"
"99-10217","D"
"UN-32432","GG_tmone_test"
"UN-32601","GG_TMone ATT Midwest"
"UN-32503","FF1"
"UN-32778","GG_tmone_test"
"UN-32515","FF1"
"UN-32489","HH"
"UN-32206","FF1"
"UN-31949","DD"
"UN-32741","DD"
"UN-27169","FF1"
"UN-31316","HH_Cinemark"
"UN-33074","GG_custom_all-0.012"
"UN-31262","FF1"
"UN-32295","II"
"UN-31589","DD"
"UN-31255","LL"
"UN-31916","DD"
"UN-33172","DD"
"UN-29812","DD"
"UN-33465","D"
"UN-33462","D"
"UN-33466","D"
"UN-33464","D"
"UN-33463","D"
"UN-32830","DD"
"US-33506","D"
"UN-33306","II"
"UN-33375","EE"
"UN-31796","II"
"UN-32722","II"
"UN-33163","FF"
"UN-32794","DD"
"UN-33211","DD"
"UN-33301","II"
"UN-33161","HH"
"UN-33007","F_PremierB_sip2"
"UN-33684","HH"
"UN-33870","II_Concept_Rocket"
"US-33967","D"
"US-33970","D"
"UN-52460","D"
"UN-52462","D"
"UN-52458","D"
"UN-33814","FF1"
"99-56563","D"
"UN-32459","YY"
"UN-33925","HH"
"UN-33959","DD"
"UN-34171","GG_tmone_test"
"UN-32699","FF"
"UN-33704","HH"
"UN-33476","ZZ"
"UN-33919","EE"
"UN-33140","DD"
"UN-34343","GG - Do not use - requires SVP approval"
"UN-34342","GG - Do not use - requires SVP approval"
"UN-34069","DD"
"UN-32291","LL"
"UN-30822","II"
"US-34530","D"
"UN-34572","DD"
"UN-34585","DD"
"UN-34626","D"
"UN-34631","DD"
"UN-34669","A"
"UN-33976","II_HV_AD"
"UN-34483","OO"
"UN-32542","HH"
"UN-34390","II"
"UN-34808","II_HV_AD"
"CA-34364","HH"
"UN-34818","GG_tmone_test"
"UN-34815","GG_tmone_test"
"UN-34995","D"
"UN-34514","II"
"UN-34817","GG_tmone_test"
"UN-34624","FF1"
"UN-34894","FF"
"US-35050","D"
"UN-32624","FF1"
"UN-31885","DD"
"UN-34798","FF_Clickspark"
"UN-35243","II"
"UN-35171","FF1"
"UN-35173","II"
"UN-34399","FF1"
"UN-35489","H"
"UN-34377","C_ASHWORTH"
"UN-35533","YY"
"US-35601","DD"
"UN-24885","II"
"UN-35659","II"
"PH-35707","A"
"UN-35330","HH"
"UN-35810","DD"
"UN-35901","C_ICAN"
"CA-26213","DD"
"UN-34706","II_HV_AD"
"US-36048","DD"
"UN-36056","FF1"
"UN-35696","II"
"UN-36128","DD"
"UN-36104","II"
"UN-35863","FF1"
"99-A9386","D"
"CA-35685","II"
"UN-36203","DD"
"UN-36236","FF1"
"US-36287","DD"
"UN-35509","YY_gerovicap"
"UN-35124","HH"
"UN-36293","GG_TMone ATT SE"
"CA-36349","FF_Oricon"
"UN-36383","GG - Do not use - requires SVP approval"
"UN-33356","II"
"UN-36280","GG_tmone_test"
"99-A9309","D"
"UN-36115","II"
"99-11173","D"
"UN-34999","HH"
"UN-36372","II"
"US-36491","DD"
"CA-36282","II"
"CA-23161","FF1"
"UN-36581","II"
"UN-36238","HH"
"UN-35345","II"
"US-36566","DD"
"UN-36610","GG - Do not use - requires SVP approval"
"UN-36568","DD"
"CA-36650","II"
"UN-36673","II"
"UN-36665","II"
"UN-36682","QQ"
"UN-36510","YY2"
"UN-36173","II"
"UN-36630","YY"
"UN-36411","YY1"
"UN-36484","FF1"
"UN-36575","DD"
"UN-35121","C_Debt Free America"
"UN-36704","YY"
"UN-36786","HH"
"UN-36700","FF1"
